No.,Execution Time
1143,1.13499
1144,1.16699
1145,1.17635
1146,1.16364
1147,1.1486
1148,1.12758
1149,1.1707
1150,1.15043
1151,1.16101
1152,1.13863
1153,1.17409
1154,1.20733
1155,1.14121
1156,1.14001
1157,1.16743
1158,1.19102
1159,1.17779
1160,1.13034
1161,1.15008
1162,1.16572
1163,1.12357
1164,1.15146
1165,1.17601
1166,1.23251
1167,1.24962
1168,1.17089
1169,1.13347
1170,1.15477
1171,1.15037
1172,1.27379
1173,1.25391
1174,1.20638
1175,1.25674
1176,1.19732
1177,1.17848
1178,1.19075
1179,1.17855
1180,1.17522
1181,1.17621
1182,1.21055
1183,1.20244
1184,1.16864
1185,1.18017
1186,1.16924
1187,1.1996
1188,1.16335
1189,1.1701
1190,1.16847
1191,1.23975
1192,1.15138
1193,1.12998
1194,1.18925
1195,1.17832
1196,1.19019
1197,1.16291
1198,1.19868
1199,1.1641
1200,1.11398
1201,1.12205
1202,1.13646
1203,1.13671
1204,1.15172
1205,1.12952
1206,1.16037
1207,1.1579
1208,1.13073
1209,1.18305
1210,1.12865
1211,1.16936
1212,1.20244
1213,1.14709
1214,1.17013
1215,1.14617
1216,1.22895
1217,1.24591
1218,1.12511
1219,1.18652
1220,1.12324
1221,1.146
1222,1.17812
1223,1.11744
1224,1.11325
1225,1.14765
1226,1.15131
1227,1.19235
1228,1.18796
1229,1.13449
1230,1.20732
1231,1.18662
1232,1.15876
1233,1.2079
1234,1.12614
1235,1.11949
1236,1.13504
1237,1.17329
1238,1.12551
1239,1.14651
1240,1.13947
1241,1.15876
1242,1.13285
1243,1.16196
1244,1.13162
1245,1.11317
1246,1.15685
1247,1.20948
1248,1.12861
1249,1.12966
1250,1.12816
1251,1.12967
1252,1.16118
1253,1.15578
1254,1.16908
1255,1.19181
1256,1.14806
1257,1.1688
1258,1.24797
1259,1.19868
1260,1.13851
1261,1.15959
1262,1.16583
1263,1.16554
1264,1.18862
1265,1.12703
1266,1.17918
1267,1.19271
1268,1.21354
1269,1.18179
1270,1.24602
1271,1.17353
1272,1.12255
1273,1.14349
1274,1.1736
1275,1.1802
1276,1.20279
1277,1.16919
1278,1.15388
1279,1.21012
1280,1.12737
1281,1.14796
1282,1.13852
1283,1.18924
1284,1.17898
1285,1.15741
1286,1.14536
1287,1.14117
1288,1.16841
1289,1.1718
1290,1.15636
1291,1.21086
1292,1.17157
1293,1.112
1294,1.13163
1295,1.2257
1296,1.20523
1297,1.16709
1298,1.12391
1299,1.11243
1300,1.119
1301,1.13944
1302,1.13064
1303,1.15675
1304,1.15828
1305,1.1784
1306,1.17224
1307,1.13844
1308,1.1268
1309,1.13052
1310,1.10634
1311,1.14664
1312,1.13171
1313,1.16328
1314,1.127
1315,1.14596
1316,1.14557
1317,1.11649
1318,1.13963
1319,1.12892
1320,1.10931
1321,1.13291
1322,1.15492
1323,1.10976
1324,1.10501
1325,1.19831
1326,1.18001
1327,1.16371
1328,1.15733
1329,1.21523
1330,1.19231
1331,1.18718
1332,1.13004
1333,1.12844
1334,1.1216
1335,1.10615
1336,1.13602
1337,1.1341
1338,1.14639
1339,1.16111
1340,1.12998
1341,1.14757
1342,1.1216
1343,1.21486
1344,1.17438
1345,1.12579
1346,1.13934
1347,1.29339
1348,1.23761
1349,1.11404
1350,1.13742
1351,1.1191
1352,1.14231
1353,1.13581
1354,1.13462
1355,1.12562
1356,1.13675
1357,1.12326
1358,1.12888
1359,1.13969
1360,1.11652
1361,1.16186
1362,1.23808
1363,1.14071
1364,1.14912
1365,1.11442
1366,1.12071
1367,1.13777
1368,1.16592
1369,1.15954
1370,1.124
1371,1.12309
1372,1.13799
1373,1.14046
1374,1.12484
1375,1.13352
1376,1.13761
1377,1.2228
1378,1.22203
1379,1.15707
1380,1.1218
1381,1.13663
1382,1.12146
1383,1.20715
1384,1.19681
1385,1.13976
1386,1.18022
1387,1.12685
1388,1.15181
1389,1.13232
1390,1.11998
1391,1.17478
1392,1.14888
1393,1.13579
1394,1.14078
1395,1.12138
1396,1.1778
1397,1.14014
1398,1.13333
1399,1.1429
1400,1.14087
1401,1.11096
1402,1.11912
1403,1.16676
1404,1.16605
1405,1.20168
1406,1.14026
1407,1.16794
1408,1.16244
1409,1.15592
1410,1.20107
1411,1.14209
1412,1.18095
1413,1.16376
1414,1.18299
1415,1.23247
1416,1.12504
1417,1.16128
1418,1.13395
1419,1.12896
1420,1.15343
1421,1.18191
1422,1.17894
1423,1.15602
1424,1.15149
1425,1.13202
1426,1.18652
1427,1.21231
1428,1.18601
1429,1.16854
1430,1.23552
1431,1.13131
1432,1.15392
1433,1.20854
1434,1.13568
1435,1.16034
1436,1.18178
1437,1.16722
1438,1.1504
1439,1.18347
1440,1.14551
1441,1.15143
1442,1.13678
1443,1.2568
1444,1.17959
1445,1.16214
1446,1.19573
1447,1.18535
1448,1.12692
1449,1.15763
1450,1.17417
1451,1.23551
1452,1.17534
1453,1.16635
1454,1.15747
1455,1.16777
1456,1.18801
1457,1.18401
1458,1.16733
1459,1.13578
1460,1.17061
1461,1.15085
1462,1.15853
1463,1.17159
1464,1.12623
1465,1.16673
1466,1.17566
1467,1.15774
1468,1.14535
1469,1.14876
1470,1.20334
1471,1.22479
1472,1.18917
1473,1.27988
1474,1.20523
1475,1.19306
1476,1.12632
1477,1.20108
1478,1.19513
1479,1.20046
1480,1.20703
1481,1.31807
1482,1.17738
1483,1.19933
1484,1.25013
1485,1.24014
1486,1.27902
1487,1.20565
1488,1.24969
1489,1.23093
1490,1.22505
1491,1.1971
1492,1.26691
1493,1.19367
1494,1.20903
1495,1.2333
1496,1.16862
1497,1.26511
1498,1.2222
1499,1.26443
1500,1.1833
1501,1.21845
1502,1.26476
1503,1.18738
1504,1.17132
1505,1.20037
1506,1.33136
1507,1.169
1508,1.28206
1509,1.20421
1510,1.22728
1511,1.17046
1512,1.2083
1513,1.23744
1514,1.22944
1515,1.27165
1516,1.22787
1517,1.1728
1518,1.24794
1519,1.1951
1520,1.25878
1521,1.2785
1522,1.18714
1523,1.28284
1524,1.22213
1525,1.2058
1526,1.2253
1527,1.27492
1528,1.25328
1529,1.21602
1530,1.29025
1531,1.18695
1532,1.25616
1533,1.24882
1534,1.26046
1535,1.32401
1536,1.24129
1537,1.28075
1538,1.27752
1539,1.27836
1540,1.21256
1541,1.20941
1542,1.21333
1543,1.3285
1544,1.27234
1545,1.27168
1546,1.29164
1547,1.23835
1548,1.21424
1549,1.20303
1550,1.19233
1551,1.21886
1552,1.24751
1553,1.16106
1554,1.18517
